Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Escherichia coli

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Escherichia coli","Ampicillin",58.680174132,61.32728953,63.974404928,66.621520326,69.268635724,2,27423
"Bloodstream","Escherichia coli","Cefepime",2.487046632,12.792466307,32.764505119,57.852034131,84.210526316,67,205243
"Bloodstream","Escherichia coli","Cefotaxime",5.681818182,22.052495697,43.147991681,70.594396439,93.548387097,72,174845
"Bloodstream","Escherichia coli","Ceftazidime",5.597014925,12.20163876,33.823529412,56.108597285,86.363636364,81,274367
"Bloodstream","Escherichia coli","Ceftriaxone",5.263157895,24.239729682,50.947867299,72.222222222,89.743589744,77,159955
"Bloodstream","Escherichia coli","Ciprofloxacin",10.154469486,29.017857143,43.193777584,64.212007505,91.666666667,92,296705
"Bloodstream","Escherichia coli","Co-trimoxazole",23.384702389,47.058823529,58.766458766,74.76635514,100,61,72743
"Bloodstream","Escherichia coli","Colistin",0,0,0.724637681,2.547770701,100,45,24955
"Bloodstream","Escherichia coli","Doripenem",1.162790698,1.64692545,2.131060202,4.438545974,6.746031746,3,2215
"Bloodstream","Escherichia coli","Ertapenem",0,0.521066805,2.330508475,7.959770115,36.363636364,67,142939
"Bloodstream","Escherichia coli","Imipenem",0,0.158478605,2.521008403,8.641975309,30.718589601,81,210219
"Bloodstream","Escherichia coli","Levofloxacin",4.545454545,30,41.996233522,55.555555556,92.775665399,53,136757
"Bloodstream","Escherichia coli","Meropenem",0,0.042485719,1.958884444,8.412447257,44.444444444,86,294507
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance",5.681818182,22.09776227,45.080285459,71.290584685,93.548387097,92,188731


Summary values that consider CTAs with testing coverage above the 75th percentile
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Escherichia coli","Ampicillin",58.680174132,58.680174132,58.680174132,58.680174132,58.680174132,1,24579
"Bloodstream","Escherichia coli","Cefepime",2.487046632,6.948559117,11.53537515,17.151702786,42.352941176,17,167154
"Bloodstream","Escherichia coli","Cefotaxime",5.681818182,10.476750912,13.810767104,23.321257855,58.564814815,18,141968
"Bloodstream","Escherichia coli","Ceftazidime",5.597014925,7.947760179,10.37864548,16.679534366,53.364269142,20,195914
"Bloodstream","Escherichia coli","Ceftriaxone",6.271777003,11.677090237,20.263757509,27.383022736,58.837209302,19,116501
"Bloodstream","Escherichia coli","Ciprofloxacin",10.154469486,14.014422248,16.754309086,29.460856045,60.648148148,23,220633
"Bloodstream","Escherichia coli","Co-trimoxazole",23.384702389,30.219185889,39.481785531,47.867202729,51.533477322,15,42814
"Bloodstream","Escherichia coli","Colistin",0,0.227963801,0.49382716,1.143871559,3.170028818,11,13609
"Bloodstream","Escherichia coli","Doripenem",2.131060202,2.131060202,2.131060202,2.131060202,2.131060202,1,1877
"Bloodstream","Escherichia coli","Ertapenem",0,0.165234633,0.480769231,0.862068966,3.356890459,17,96178
"Bloodstream","Escherichia coli","Imipenem",0,0.027245205,0.178774804,1.002197402,5.348837209,20,159744
"Bloodstream","Escherichia coli","Levofloxacin",10.544611819,16.231086657,28.17925586,35.240963855,92.775665399,13,122524
"Bloodstream","Escherichia coli","Meropenem",0,0.006016847,0.044246534,0.099754368,5.361305361,22,225275
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance",5.681818182,11.332516323,13.228903487,23.349078027,58.837209302,23,131069


Data for boxplots
"Specimen","PathogenName","AntibioticName","Iso3","CountryTerritoryArea","WHORegionName","InterpretableAST","Resistant","ResistancePercentage"
"Bloodstream","Escherichia coli","Cefepime","ARE","United Arab Emirates","Eastern Mediterranean Region",1251,373,29.816147082
"Bloodstream","Escherichia coli","Cefotaxime","ARE","United Arab Emirates","Eastern Mediterranean Region",804,391,48.631840796
"Bloodstream","Escherichia coli","Ceftazidime","ARE","United Arab Emirates","Eastern Mediterranean Region",1427,478,33.496846531
"Bloodstream","Escherichia coli","Ceftriaxone","ARE","United Arab Emirates","Eastern Mediterranean Region",844,430,50.947867299
"Bloodstream","Escherichia coli","Ciprofloxacin","ARE","United Arab Emirates","Eastern Mediterranean Region",1419,742,52.290345314
"Bloodstream","Escherichia coli","Co-trimoxazole","ARE","United Arab Emirates","Eastern Mediterranean Region",1425,688,48.280701754
"Bloodstream","Escherichia coli","Colistin","ARE","United Arab Emirates","Eastern Mediterranean Region",40,10,25
"Bloodstream","Escherichia coli","Ertapenem","ARE","United Arab Emirates","Eastern Mediterranean Region",1043,43,4.122722915
"Bloodstream","Escherichia coli","Imipenem","ARE","United Arab Emirates","Eastern Mediterranean Region",1329,25,1.881113619
"Bloodstream","Escherichia coli","Levofloxacin","ARE","United Arab Emirates","Eastern Mediterranean Region",210,127,60.476190476
"Bloodstream","Escherichia coli","Meropenem","ARE","United Arab Emirates","Eastern Mediterranean Region",1439,34,2.362751911
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","ARE","United Arab Emirates","Eastern Mediterranean Region",844,430,50.947867299
"Bloodstream","Escherichia coli","Cefepime","ARG","Argentina","Region of the Americas",2261,237,10.482087572
"Bloodstream","Escherichia coli","Cefotaxime","ARG","Argentina","Region of the Americas",1743,372,21.342512909
"Bloodstream","Escherichia coli","Ceftazidime","ARG","Argentina","Region of the Americas",2384,219,9.186241611
"Bloodstream","Escherichia coli","Ciprofloxacin","ARG","Argentina","Region of the Americas",2431,841,34.594816948
"Bloodstream","Escherichia coli","Co-trimoxazole","ARG","Argentina","Region of the Americas",2187,974,44.535893919
"Bloodstream","Escherichia coli","Colistin","ARG","Argentina","Region of the Americas",822,6,0.729927007
"Bloodstream","Escherichia coli","Ertapenem","ARG","Argentina","Region of the Americas",1752,16,0.913242009
"Bloodstream","Escherichia coli","Imipenem","ARG","Argentina","Region of the Americas",2384,25,1.048657718
"Bloodstream","Escherichia coli","Meropenem","ARG","Argentina","Region of the Americas",2387,20,0.837871806
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","ARG","Argentina","Region of the Americas",1743,372,21.342512909
"Bloodstream","Escherichia coli","Cefepime","AUS","Australia","Western Pacific Region",5399,177,3.278384886
"Bloodstream","Escherichia coli","Ceftazidime","AUS","Australia","Western Pacific Region",5400,342,6.333333333
"Bloodstream","Escherichia coli","Ceftriaxone","AUS","Australia","Western Pacific Region",5402,670,12.402813773
"Bloodstream","Escherichia coli","Ciprofloxacin","AUS","Australia","Western Pacific Region",5388,757,14.049740163
"Bloodstream","Escherichia coli","Co-trimoxazole","AUS","Australia","Western Pacific Region",5399,1552,28.746064086
"Bloodstream","Escherichia coli","Colistin","AUS","Australia","Western Pacific Region",528,1,0.189393939
"Bloodstream","Escherichia coli","Ertapenem","AUS","Australia","Western Pacific Region",1207,13,1.077050539
"Bloodstream","Escherichia coli","Imipenem","AUS","Australia","Western Pacific Region",530,2,0.377358491
"Bloodstream","Escherichia coli","Meropenem","AUS","Australia","Western Pacific Region",5402,8,0.148093299
"Bloodstream","Escherichia coli","Third generation cephalosporins resistance","AUS","Australia","Western Pacific Region",5402,670,12.402813773
"Bloodstream","Escherichia coli","Cefepime","AUT","Austria","European Region",3713,258,6.948559117
"Bloodstream","Escherichia coli","Cefotaxime","AUT","Austria","European Region",3070,266,8.664495114
