Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Klebsiella pneumoniae","Cefepime",2.074074074,25.241157556,57.37704918,75,100,69,104962
"Bloodstream","Klebsiella pneumoniae","Cefotaxime",5.555555556,34.637964775,66.7752443,82.273320287,100,69,82676
"Bloodstream","Klebsiella pneumoniae","Ceftazidime",5.520169851,24.075562701,58.73015873,79.346850637,100,83,124444
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone",5.921052632,36.984966592,69.588313413,84.337349398,100,77,75730
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin",4.758182706,29.166956334,53.541566019,69.001399006,91.666666667,92,135046
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole",12.648716343,35.294117647,64.705882353,76.666666667,100,61,49885
"Bloodstream","Klebsiella pneumoniae","Colistin",0,2.587757927,6.808838643,16.833672185,100,48,21660
"Bloodstream","Klebsiella pneumoniae","Doripenem",14.705882353,17.418677859,24.21875,29.411764706,93.47826087,5,1468
"Bloodstream","Klebsiella pneumoniae","Ertapenem",0,5.023282516,18.070652174,45.241477273,86.274509804,64,73011
"Bloodstream","Klebsiella pneumoniae","Imipenem",0,4.91708126,18.920972644,39.461358314,72.444444444,78,107419
"Bloodstream","Klebsiella pneumoniae","Levofloxacin",2.808988764,21.458857903,49.932493249,69.407782038,93.181818182,50,55184
"Bloodstream","Klebsiella pneumoniae","Meropenem",0,2.089870013,17.790920716,40.300713678,72.357723577,86,134133


Summary values that consider CTAs with testing coverage above the 75th percentile
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Klebsiella pneumoniae","Cefepime",5.46387087,12.345679012,28.123123123,48.566180222,73.28358209,17,76165
"Bloodstream","Klebsiella pneumoniae","Cefotaxime",6.818181818,14.285714286,35.051226327,66.7752443,82.75862069,17,54427
"Bloodstream","Klebsiella pneumoniae","Ceftazidime",5.691056911,11.386138614,32.251701351,55.151515152,81.530343008,21,81442
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone",6.296296296,16.848912101,51.219512195,68.287037037,93.406593407,19,45901
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin",4.758182706,12.49607856,31.547619048,48.099878557,76.517150396,23,64429
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole",12.648716343,24.581906664,34.230099699,45.326967593,69.714367734,15,24885
"Bloodstream","Klebsiella pneumoniae","Colistin",0.482315113,2.936984023,6.02320964,10.288367546,27.956989247,12,6219
"Bloodstream","Klebsiella pneumoniae","Doripenem",17.418677859,17.418677859,17.418677859,17.418677859,17.418677859,1,953
"Bloodstream","Klebsiella pneumoniae","Ertapenem",0,2.212156634,4.057567159,18.335938288,54.761904762,16,35970
"Bloodstream","Klebsiella pneumoniae","Imipenem",0,3.871527778,19.662304726,28.788621259,70.463709677,20,67674
"Bloodstream","Klebsiella pneumoniae","Levofloxacin",3.239695926,7.936507937,21.549717326,57.072872015,87.5,13,42383
"Bloodstream","Klebsiella pneumoniae","Meropenem",0,0.658609502,1.760854842,19.146518228,44.327176781,22,76780


Data for boxplots
"Specimen","PathogenName","AntibioticName","Iso3","CountryTerritoryArea","WHORegionName","InterpretableAST","Resistant","ResistancePercentage"
"Bloodstream","Klebsiella pneumoniae","Cefepime","ARE","United Arab Emirates","Eastern Mediterranean Region",833,275,33.013205282
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","ARE","United Arab Emirates","Eastern Mediterranean Region",511,177,34.637964775
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","ARE","United Arab Emirates","Eastern Mediterranean Region",957,340,35.5276907
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","ARE","United Arab Emirates","Eastern Mediterranean Region",579,255,44.041450777
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","ARE","United Arab Emirates","Eastern Mediterranean Region",957,357,37.304075235
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","ARE","United Arab Emirates","Eastern Mediterranean Region",955,327,34.240837696
"Bloodstream","Klebsiella pneumoniae","Colistin","ARE","United Arab Emirates","Eastern Mediterranean Region",43,12,27.906976744
"Bloodstream","Klebsiella pneumoniae","Ertapenem","ARE","United Arab Emirates","Eastern Mediterranean Region",655,99,15.114503817
"Bloodstream","Klebsiella pneumoniae","Imipenem","ARE","United Arab Emirates","Eastern Mediterranean Region",893,139,15.565509518
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","ARE","United Arab Emirates","Eastern Mediterranean Region",133,40,30.07518797
"Bloodstream","Klebsiella pneumoniae","Meropenem","ARE","United Arab Emirates","Eastern Mediterranean Region",960,152,15.833333333
"Bloodstream","Klebsiella pneumoniae","Cefepime","ARG","Argentina","Region of the Americas",1990,894,44.924623116
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","ARG","Argentina","Region of the Americas",1452,758,52.203856749
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","ARG","Argentina","Region of the Americas",2054,1016,49.464459591
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","ARG","Argentina","Region of the Americas",2139,1090,50.958391772
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","ARG","Argentina","Region of the Americas",1877,999,53.223228556
"Bloodstream","Klebsiella pneumoniae","Colistin","ARG","Argentina","Region of the Americas",716,59,8.240223464
"Bloodstream","Klebsiella pneumoniae","Ertapenem","ARG","Argentina","Region of the Americas",1540,553,35.909090909
"Bloodstream","Klebsiella pneumoniae","Imipenem","ARG","Argentina","Region of the Americas",2113,733,34.690014198
"Bloodstream","Klebsiella pneumoniae","Meropenem","ARG","Argentina","Region of the Americas",2109,710,33.665244192
"Bloodstream","Klebsiella pneumoniae","Cefepime","AUS","Australia","Western Pacific Region",1350,28,2.074074074
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","AUS","Australia","Western Pacific Region",1350,75,5.555555556
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","AUS","Australia","Western Pacific Region",1350,85,6.296296296
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","AUS","Australia","Western Pacific Region",1344,93,6.919642857
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","AUS","Australia","Western Pacific Region",1350,172,12.740740741
"Bloodstream","Klebsiella pneumoniae","Colistin","AUS","Australia","Western Pacific Region",137,0,0
"Bloodstream","Klebsiella pneumoniae","Ertapenem","AUS","Australia","Western Pacific Region",340,4,1.176470588
"Bloodstream","Klebsiella pneumoniae","Imipenem","AUS","Australia","Western Pacific Region",137,0,0
"Bloodstream","Klebsiella pneumoniae","Meropenem","AUS","Australia","Western Pacific Region",1349,6,0.444773907
"Bloodstream","Klebsiella pneumoniae","Cefepime","AUT","Austria","European Region",922,93,10.086767896
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","AUT","Austria","European Region",742,106,14.285714286
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","AUT","Austria","European Region",512,57,11.1328125
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","AUT","Austria","European Region",124,27,21.774193548
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","AUT","Austria","European Region",1136,140,12.323943662
"Bloodstream","Klebsiella pneumoniae","Colistin","AUT","Austria","European Region",52,2,3.846153846
