Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Streptococcus pneumoniae

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Streptococcus pneumoniae","Cefotaxime",0,0,0,1.946334089,16.666666667,43,12088
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone",0,0,0,1.705600583,14.285714286,50,15068
"Bloodstream","Streptococcus pneumoniae","Co-trimoxazole",0,23.880597015,33.333333333,46.511627907,97.93814433,29,7403
"Bloodstream","Streptococcus pneumoniae","Oxacillin",0,4.545454545,17.647058824,31.25,87.5,33,3868
"Bloodstream","Streptococcus pneumoniae","Penicillin G",0,1.010655387,4.446640316,11.011904762,82.608695652,58,24784


Summary values that consider CTAs with testing coverage above the 75th percentile
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Streptococcus pneumoniae","Cefotaxime",0,0,0,0.060459492,0.616740088,11,6235
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone",0,0,0,0,1.967493584,13,7682
"Bloodstream","Streptococcus pneumoniae","Co-trimoxazole",4.275092937,13.749346747,30.471271788,35.662038185,46.511627907,7,5313
"Bloodstream","Streptococcus pneumoniae","Oxacillin",0,0,0.522880098,4.481434059,8.61423221,8,2656
"Bloodstream","Streptococcus pneumoniae","Penicillin G",0,0,1.179941003,2.099878073,10.714285714,15,14647


Data for boxplots
"Specimen","PathogenName","AntibioticName","Iso3","CountryTerritoryArea","WHORegionName","InterpretableAST","Resistant","ResistancePercentage"
"Bloodstream","Streptococcus pneumoniae","Cefotaxime","ARE","United Arab Emirates","Eastern Mediterranean Region",147,3,2.040816327
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","ARE","United Arab Emirates","Eastern Mediterranean Region",228,5,2.192982456
"Bloodstream","Streptococcus pneumoniae","Co-trimoxazole","ARE","United Arab Emirates","Eastern Mediterranean Region",218,73,33.486238532
"Bloodstream","Streptococcus pneumoniae","Oxacillin","ARE","United Arab Emirates","Eastern Mediterranean Region",21,6,28.571428571
"Bloodstream","Streptococcus pneumoniae","Penicillin G","ARE","United Arab Emirates","Eastern Mediterranean Region",205,8,3.902439024
"Bloodstream","Streptococcus pneumoniae","Cefotaxime","AUS","Australia","Western Pacific Region",110,1,0.909090909
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","AUS","Australia","Western Pacific Region",458,2,0.436681223
"Bloodstream","Streptococcus pneumoniae","Co-trimoxazole","AUS","Australia","Western Pacific Region",300,50,16.666666667
"Bloodstream","Streptococcus pneumoniae","Penicillin G","AUS","Australia","Western Pacific Region",609,6,0.985221675
"Bloodstream","Streptococcus pneumoniae","Cefotaxime","AUT","Austria","European Region",304,0,0
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","AUT","Austria","European Region",228,0,0
"Bloodstream","Streptococcus pneumoniae","Oxacillin","AUT","Austria","European Region",109,5,4.587155963
"Bloodstream","Streptococcus pneumoniae","Penicillin G","AUT","Austria","European Region",503,7,1.391650099
"Bloodstream","Streptococcus pneumoniae","Cefotaxime","BEL","Belgium","European Region",1654,2,0.120918984
"Bloodstream","Streptococcus pneumoniae","Penicillin G","BEL","Belgium","European Region",1654,34,2.055622733
"Bloodstream","Streptococcus pneumoniae","Cefotaxime","BEN","Benin","African Region",20,0,0
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","BEN","Benin","African Region",20,0,0
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","BHR","Bahrain","Eastern Mediterranean Region",10,1,10
"Bloodstream","Streptococcus pneumoniae","Penicillin G","BHR","Bahrain","Eastern Mediterranean Region",13,1,7.692307692
"Bloodstream","Streptococcus pneumoniae","Cefotaxime","BIH","Bosnia and Herzegovina","European Region",30,5,16.666666667
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","BIH","Bosnia and Herzegovina","European Region",35,5,14.285714286
"Bloodstream","Streptococcus pneumoniae","Oxacillin","BIH","Bosnia and Herzegovina","European Region",37,12,32.432432432
"Bloodstream","Streptococcus pneumoniae","Penicillin G","BIH","Bosnia and Herzegovina","European Region",37,14,37.837837838
"Bloodstream","Streptococcus pneumoniae","Cefotaxime","BRA","Brazil","Region of the Americas",21,2,9.523809524
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","BRA","Brazil","Region of the Americas",78,0,0
"Bloodstream","Streptococcus pneumoniae","Co-trimoxazole","BRA","Brazil","Region of the Americas",66,14,21.212121212
"Bloodstream","Streptococcus pneumoniae","Penicillin G","BRA","Brazil","Region of the Americas",84,7,8.333333333
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","CAN","Canada","Region of the Americas",2848,2,0.070224719
"Bloodstream","Streptococcus pneumoniae","Co-trimoxazole","CAN","Canada","Region of the Americas",2848,452,15.870786517
"Bloodstream","Streptococcus pneumoniae","Penicillin G","CAN","Canada","Region of the Americas",2848,0,0
"Bloodstream","Streptococcus pneumoniae","Cefotaxime","CHE","Switzerland","European Region",25,0,0
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","CHE","Switzerland","European Region",561,0,0
"Bloodstream","Streptococcus pneumoniae","Co-trimoxazole","CHE","Switzerland","European Region",538,23,4.275092937
"Bloodstream","Streptococcus pneumoniae","Oxacillin","CHE","Switzerland","European Region",267,23,8.61423221
