Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Salmonella spp.

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Salmonella spp.","Cefotaxime",0,0,2.932363014,12.846153846,95.348837209,40,4384
"Bloodstream","Salmonella spp.","Ceftazidime",0,0,2.111324376,6.458333333,86.956521739,31,3382
"Bloodstream","Salmonella spp.","Ceftriaxone",0,0,4.396966721,9.595959596,92.307692308,40,5780
"Bloodstream","Salmonella spp.","Ciprofloxacin",0,6.666666667,18.518518519,30.406852248,78.306878307,53,7992
"Bloodstream","Salmonella spp.","Doripenem",0,0,0,0,0,1,24
"Bloodstream","Salmonella spp.","Ertapenem",0,0,0,0.907925408,6.25,19,2953
"Bloodstream","Salmonella spp.","Imipenem",0,0,0,1.477032949,9.734513274,26,4021
"Bloodstream","Salmonella spp.","Levofloxacin",0.59311981,10.151515152,19.975134687,25.689223058,29.411764706,14,1713
"Bloodstream","Salmonella spp.","Meropenem",0,0,0,0.088443396,11.111111111,38,5886


Summary values that consider CTAs with testing coverage above the 75th percentile
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Salmonella spp.","Cefotaxime",0,1.02128492,2.529533294,4.274383079,85.223367698,10,2820
"Bloodstream","Salmonella spp.","Ceftazidime",0,0,1.679952767,2.223731115,4.054054054,8,1986
"Bloodstream","Salmonella spp.","Ceftriaxone",0,0,3.252438734,6.836611456,16,10,2383
"Bloodstream","Salmonella spp.","Ciprofloxacin",0,2.130325815,5.919395466,17.073170732,30.406852248,13,4130
"Bloodstream","Salmonella spp.","Doripenem",NA,NA,NA,NA,NA,NA,NA
"Bloodstream","Salmonella spp.","Ertapenem",0,0,0,0.479616307,0.815850816,5,1888
"Bloodstream","Salmonella spp.","Imipenem",0,0,0.163934426,0.370878406,0.99009901,7,2764
"Bloodstream","Salmonella spp.","Levofloxacin",0.59311981,6.966461771,11.952861953,17.929292929,27.272727273,4,1152
"Bloodstream","Salmonella spp.","Meropenem",0,0,0,0,0.574712644,10,3550


Data for boxplots
"Specimen","PathogenName","AntibioticName","Iso3","CountryTerritoryArea","WHORegionName","InterpretableAST","Resistant","ResistancePercentage"
"Bloodstream","Salmonella spp.","Cefotaxime","ARE","United Arab Emirates","Eastern Mediterranean Region",60,3,5
"Bloodstream","Salmonella spp.","Ceftazidime","ARE","United Arab Emirates","Eastern Mediterranean Region",36,2,5.555555556
"Bloodstream","Salmonella spp.","Ceftriaxone","ARE","United Arab Emirates","Eastern Mediterranean Region",70,5,7.142857143
"Bloodstream","Salmonella spp.","Ciprofloxacin","ARE","United Arab Emirates","Eastern Mediterranean Region",90,16,17.777777778
"Bloodstream","Salmonella spp.","Ertapenem","ARE","United Arab Emirates","Eastern Mediterranean Region",85,0,0
"Bloodstream","Salmonella spp.","Imipenem","ARE","United Arab Emirates","Eastern Mediterranean Region",101,1,0.99009901
"Bloodstream","Salmonella spp.","Levofloxacin","ARE","United Arab Emirates","Eastern Mediterranean Region",33,9,27.272727273
"Bloodstream","Salmonella spp.","Meropenem","ARE","United Arab Emirates","Eastern Mediterranean Region",110,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","ARG","Argentina","Region of the Americas",73,2,2.739726027
"Bloodstream","Salmonella spp.","Ciprofloxacin","ARG","Argentina","Region of the Americas",784,5,0.637755102
"Bloodstream","Salmonella spp.","Meropenem","ARG","Argentina","Region of the Americas",83,1,1.204819277
"Bloodstream","Salmonella spp.","Ceftazidime","AUS","Australia","Western Pacific Region",137,3,2.189781022
"Bloodstream","Salmonella spp.","Ceftriaxone","AUS","Australia","Western Pacific Region",137,2,1.459854015
"Bloodstream","Salmonella spp.","Ciprofloxacin","AUS","Australia","Western Pacific Region",133,22,16.541353383
"Bloodstream","Salmonella spp.","Ertapenem","AUS","Australia","Western Pacific Region",39,0,0
"Bloodstream","Salmonella spp.","Imipenem","AUS","Australia","Western Pacific Region",13,0,0
"Bloodstream","Salmonella spp.","Meropenem","AUS","Australia","Western Pacific Region",137,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","BEL","Belgium","European Region",74,3,4.054054054
"Bloodstream","Salmonella spp.","Ceftazidime","BEL","Belgium","European Region",74,3,4.054054054
"Bloodstream","Salmonella spp.","Ciprofloxacin","BEL","Belgium","European Region",74,36,48.648648649
"Bloodstream","Salmonella spp.","Meropenem","BEL","Belgium","European Region",74,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","BEN","Benin","African Region",13,0,0
"Bloodstream","Salmonella spp.","Ceftazidime","BEN","Benin","African Region",13,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","BEN","Benin","African Region",13,0,0
